Florida Player 1,Florida Player 2,Florida Player 3,Florida Player 4,Florida Player 5,Opponent Player 1,Opponent Player 2,Opponent Player 3,Opponent Player 4,Opponent Player 5,Start Time,Finish Time,Florida Bigs,Opponent Bigs,Florida Starting Score,Florida Ending Score,Opponent Starting Score,Opponent Ending Score,Florida 2PFGM,Florida 2PFGA,Florida PFGM,Florida PFGA,Florida 3PFGM,Florida 3PFGA,Florida FTM,Florida FTA,Florida TO,Florida ORB,Florida DRB,Florida PF,Florida BLK,Opponent 2PFGM,Opponent 2PFGA,Opponent PFGM,Opponent PFGA,Opponent 3PFGM,Opponent 3PFGA,Opponent FTM,Opponent FTA,Opponent TO,Opponent ORB,Opponent DRB,Opponent PF,Opponent BLK
KeVaughn Allen,Keith Stone,Egor Koulechev,Chris Chiozza,Kevarrius Hayes,Jordan Geist,Jeremiah Tilmon,Jordan Barnett,Kevin Puryear,Kassius Robertson,1200,1019,0,0,0,2,0,4,1,3,0,0,0,2,0,0,1,2,0,1,0,1,2,0,0,0,0,2,2,2,1,2,1,0
KeVaughn Allen,Keith Stone,Egor Koulechev,Chris Chiozza,Kevarrius Hayes,Jontay Porter,Jordan Geist,Jeremiah Tilmon,Jordan Barnett,Kassius Robertson,1019,1019,1,1,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,Keith Stone,Chris Chiozza,Kevarrius Hayes,Egor Koulechov,Jontay Porter,Jordan Geist,Jeremiah Tilmon,Jordan Barnett,Kassius Robertson,1019,947,1,1,2,2,4,7,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0
Jalen Hudson,Keith Stone,Chris Chiozza,Kevarrius Hayes,Egor Koulechov,Jontay Porter,Jordan Geist,Jordan Barnett,Kevin Puryear,Kassius Robertson,947,915,1,1,2,4,7,10,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Jalen Hudson,Keith Stone,Chris Chiozza,Kevarrius Hayes,Egor Koulechov,Terrence Phillips,Jontay Porter,Jordan Barnett,Kevin Puryear,Kassius Robertson,915,890,1,1,4,7,10,10,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,Egor Koulechov,Chris Chiozza,Kevarrius Hayes,Deaundrae Ballard,Terrence Phillips,Jontay Porter,Jordan Barnett,Kevin Puryear,Kassius Robertson,890,890,1,1,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,Egor Koulechov,Chris Chiozza,Kevarrius Hayes,Deaundrae Ballard,Terrence Phillips,Jontay Porter,Jordan Barnett,Kevin Puryear,Cullen VanLeer,890,749,1,1,7,10,10,19,0,1,0,0,1,2,0,0,1,0,0,1,0,2,2,0,0,1,1,2,2,1,0,2,0,1
Jalen Hudson,Egor Koulechov,Chris Chiozza,Kevarrius Hayes,Deaundrae Ballard,Terrence Phillips,Reed Nikko,Jontay Porter,Kassius Robertson,Cullen VanLeer,749,749,1,2,10,10,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorjok Gak,Mike Okauru,KeVaughn Allen,Keith Stone,Deaundrae Ballard,Terrence Phillips,Reed Nikko,Jontay Porter,Kassius Robertson,Cullen VanLeer,749,689,1,2,10,12,19,22,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Gorjok Gak,Mike Okauru,KeVaughn Allen,Keith Stone,Deaundrae Ballard,Jontay Porter,Jordan Geist,Jordan Barnett,Kevin Puryear,Kassius Robertson,689,633,1,1,12,12,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0
Gorjok Gak,KeVaughn Allen,Mike Okauru,Deaundrae Ballard,Egor Koulechov,Jontay Porter,Jordan Geist,Jordan Barnett,Kevin Puryear,Kassius Robertson,633,578,1,1,12,15,24,24,1,2,0,0,0,1,1,2,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0
Gorjok Gak,KeVaughn Allen,Jalen Hudson,Mike Okauru,Egor Koulechov,Jontay Porter,Jordan Geist,Jordan Barnett,Kevin Puryear,Kassius Robertson,578,578,1,1,15,15,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorjok Gak,KeVaughn Allen,Jalen Hudson,Mike Okauru,Egor Koulechov,Terrence Phillips,Jontay Porter,Jordan Geist,Jordan Barnett,Kassius Robertson,578,493,1,1,15,22,24,26,2,2,0,0,1,1,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,Mike Okauru,Chris Chiozza,Kevarrius Hayes,Egor Koulechov,Terrence Phillips,Jontay Porter,Jordan Geist,Jordan Barnett,Kassius Robertson,493,493,1,1,22,22,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,Mike Okauru,Chris Chiozza,Kevarrius Hayes,Egor Koulechov,Terrence Phillips,Jontay Porter,Jordan Barnett,Kassius Robertson,Cullen VanLeer,493,385,1,1,22,22,26,26,0,2,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0
Jalen Hudson,Mike Okauru,Chris Chiozza,Kevarrius Hayes,Egor Koulechov,Jontay Porter,Reed Nikko,Jordan Barnett,Kassius Robertson,Cullen VanLeer,385,334,1,2,22,24,26,29,0,0,0,0,0,1,2,4,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,2,1,0
Jalen Hudson,Mike Okauru,Chris Chiozza,Kevarrius Hayes,Egor Koulechov,Reed Nikko,Jordan Barnett,Kevin Puryear,Kassius Robertson,Cullen VanLeer,334,334,1,1,24,24,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,Mike Okauru,Keith Stone,Chris Chiozza,Kevarrius Hayes,Reed Nikko,Jordan Barnett,Kevin Puryear,Kassius Robertson,Cullen VanLeer,334,280,1,1,24,24,29,29,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
Jalen Hudson,KeVaughn Allen,Keith Stone,Chris Chiozza,Kevarrius Hayes,Reed Nikko,Jordan Barnett,Kevin Puryear,Kassius Robertson,Cullen VanLeer,280,280,1,1,24,24,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,KeVaughn Allen,Keith Stone,Chris Chiozza,Kevarrius Hayes,Reed Nikko,Jordan Geist,Jordan Barnett,Kevin Puryear,Kassius Robertson,280,248,1,1,24,24,29,31,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0
Jalen Hudson,KeVaughn Allen,Keith Stone,Chris Chiozza,Kevarrius Hayes,Terrence Phillips,Reed Nikko,Jordan Geist,Jordan Barnett,Kevin Puryear,248,212,1,1,24,24,31,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Jalen Hudson,Keith Stone,Chris Chiozza,Kevarrius Hayes,Egor Koulechov,Terrence Phillips,Reed Nikko,Jordan Geist,Jordan Barnett,Kevin Puryear,212,212,1,1,24,24,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,Keith Stone,Chris Chiozza,Kevarrius Hayes,Egor Koulechov,Reed Nikko,Jordan Barnett,Kevin Puryear,Kassius Robertson,Cullen VanLeer,212,186,1,1,24,27,32,32,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mike Okauru,Jalen Hudson,Egor Koulechov,Keith Stone,Deaundrae Ballard,Reed Nikko,Jordan Barnett,Kevin Puryear,Kassius Robertson,Cullen VanLeer,186,186,0,1,27,27,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Okauru,Jalen Hudson,Egor Koulechov,Keith Stone,Deaundrae Ballard,Reed Nikko,Jordan Geist,Jordan Barnett,Kassius Robertson,Cullen VanLeer,186,144,0,1,27,29,32,32,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Mike Okauru,Jalen Hudson,Egor Koulechov,Keith Stone,Deaundrae Ballard,Jordan Geist,Jeremiah Tilmon,Jordan Barnett,Kassius Robertson,Cullen VanLeer,144,100,0,0,29,32,32,32,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Mike Okauru,Jalen Hudson,Egor Koulechov,Keith Stone,Deaundrae Ballard,Reed Nikko,Jordan Geist,Jordan Barnett,Kassius Robertson,Cullen VanLeer,100,1200,0,1,32,36,32,35,2,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
Mike Okauru,Jalen Hudson,Egor Koulechov,Keith Stone,Deaundrae Ballard,Jontay Porter,Jordan Geist,Jordan Barnett,Kevin Puryear,Kassius Robertson,1200,1200,0,1,36,36,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KeVaughn Allen,Keith Stone,Chris Chiozza,Kevarrius Hayes,Egor Koulechov,Jontay Porter,Jordan Geist,Jordan Barnett,Kevin Puryear,Kassius Robertson,1200,1059,1,1,36,40,35,41,2,3,0,0,0,1,0,1,1,2,0,2,0,0,0,0,0,1,1,3,3,0,0,1,1,0
Jalen Hudson,Keith Stone,Chris Chiozza,Kevarrius Hayes,Egor Koulechov,Jontay Porter,Jordan Geist,Jordan Barnett,Kevin Puryear,Kassius Robertson,1059,986,1,1,40,42,41,42,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Jalen Hudson,Keith Stone,Chris Chiozza,Kevarrius Hayes,Egor Koulechov,Jontay Porter,Jordan Geist,Jeremiah Tilmon,Jordan Barnett,Kassius Robertson,986,942,1,1,42,42,42,47,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,1,1,0,0
Jalen Hudson,Keith Stone,Chris Chiozza,Kevarrius Hayes,Egor Koulechov,Terrence Phillips,Jontay Porter,Jeremiah Tilmon,Jordan Barnett,Kassius Robertson,942,890,1,1,42,45,47,47,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
Gorjok Gak,Jalen Hudson,Keith Stone,Chris Chiozza,Egor Koulechov,Terrence Phillips,Jontay Porter,Jeremiah Tilmon,Jordan Barnett,Kassius Robertson,890,890,1,1,45,45,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorjok Gak,Jalen Hudson,Keith Stone,Chris Chiozza,Egor Koulechov,Terrence Phillips,Jontay Porter,Jordan Barnett,Kevin Puryear,Kassius Robertson,890,722,1,1,45,51,47,54,1,2,0,0,1,3,1,1,0,1,2,1,0,1,1,0,0,1,3,2,3,0,0,2,1,0
Egor Koulechov,Keith Stone,Chris Chiozza,Kevarrius Hayes,Deaundrae Ballard,Terrence Phillips,Jontay Porter,Jordan Barnett,Kevin Puryear,Kassius Robertson,722,722,1,1,51,51,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egor Koulechov,Keith Stone,Chris Chiozza,Kevarrius Hayes,Deaundrae Ballard,Reed Nikko,Jordan Geist,Jordan Barnett,Kevin Puryear,Kassius Robertson,722,679,1,1,51,51,54,54,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Egor Koulechov,Keith Stone,Chris Chiozza,Kevarrius Hayes,Deaundrae Ballard,Jontay Porter,Jordan Geist,Jordan Barnett,Kevin Puryear,Kassius Robertson,679,679,1,1,51,51,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KeVaughn Allen,Keith Stone,Chris Chiozza,Kevarrius Hayes,Deaundrae Ballard,Jontay Porter,Jordan Geist,Jordan Barnett,Kevin Puryear,Kassius Robertson,679,633,1,1,51,51,54,58,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,1,1,0,0
Jalen Hudson,KeVaughn Allen,Keith Stone,Chris Chiozza,Kevarrius Hayes,Jontay Porter,Jordan Geist,Jordan Barnett,Kevin Puryear,Kassius Robertson,633,618,1,1,51,51,58,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Jalen Hudson,KeVaughn Allen,Keith Stone,Chris Chiozza,Kevarrius Hayes,Reed Nikko,Jordan Geist,Jordan Barnett,Kevin Puryear,Kassius Robertson,618,523,1,1,51,57,59,62,1,1,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Jalen Hudson,Mike Okauru,Chris Chiozza,Kevarrius Hayes,Egor Koulechov,Reed Nikko,Jordan Geist,Jordan Barnett,Kevin Puryear,Kassius Robertson,523,523,1,1,57,57,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,Mike Okauru,Chris Chiozza,Kevarrius Hayes,Egor Koulechov,Reed Nikko,Jordan Geist,Jordan Barnett,Kassius Robertson,Cullen VanLeer,523,459,1,1,57,59,62,66,1,1,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,1,0
Jalen Hudson,KeVaughn Allen,Keith Stone,Chris Chiozza,Egor Koulechov,Reed Nikko,Jordan Geist,Jordan Barnett,Kassius Robertson,Cullen VanLeer,459,459,0,1,59,59,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hudson,KeVaughn Allen,Keith Stone,Chris Chiozza,Egor Koulechov,Jordan Geist,Jeremiah Tilmon,Jordan Barnett,Kevin Puryear,Kassius Robertson,459,442,0,0,59,60,66,68,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Jalen Hudson,KeVaughn Allen,Keith Stone,Chris Chiozza,Egor Koulechov,Jontay Porter,Jordan Geist,Jordan Barnett,Kevin Puryear,Kassius Robertson,442,396,0,1,60,62,68,68,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
